"WY","WY_label","Year_group","Watershed","Watershed_group","Area","H2O","DOC","Cl","NO3","SO4","NH4","Si","N flux","Ca","K","Mg","Na","H","Al","ANC","HCO3","Discharge L/s","EQPH","Ca_vol","Mg_vol","NO3_vol","SO4_vol","DOC_vol","Al_vol","Al_ug_vol","H_vol","CaMg_vol","WY_group2","WY_group"
2001,NA,NA,"WB","WB (treatment)",10.26,51,924.734,368.898,204.974,907.109,2.025,390.17,206.999,490.409,45.159,186.965,467.327,63.552,108.289,1.887,10.114,4.68808791208791,5.06880434782609,98.6587517647059,37.6129588235294,41.2359458823529,182.488987058824,186.034722352941,21.7851988235294,588.200368235294,12.7851670588235,136.271710588235,"2000-09","2000-09"
2002,"02",NA,"WB","WB (treatment)",10.26,72,1206.407,590.464,238.334,1355.163,6.718,544.346,245.052,685.809,58.276,264.786,658.233,89.717,180.607,2.057,13.093,14.3308635483871,5.00297297297297,97.7277825,37.732005,33.962595,193.1107275,171.9129975,25.7364975,694.8854325,12.7846725,135.4597875,"2000-09","2000-09"
2003,NA,NA,"WB","WB (treatment)",10.26,87,1650.062,593.012,132.236,1550.697,23.405,584.071,155.641,743.703,65.01,294.729,735.008,101.197,183.458,0.636,13.634,12.4383385106383,4.97916666666667,87.705664137931,34.757695862069,15.5947282758621,182.87530137931,194.59351862069,21.6353917241379,584.155576551724,11.9342668965517,122.46336,"2000-09","2000-09"
2004,"04",NA,"WB","WB (treatment)",10.26,115,482.928,854.053,141.788,1990.867,35.192,NA,176.98,978.513,90.548,364.707,995.384,145.166,174.272,0.045,21.61,17.0439333333333,4.91166666666667,87.3003772173913,32.5382071304348,12.6499554782609,177.619960173913,43.0855763478261,15.5480932173913,419.798516869565,12.951331826087,119.838584347826,"2000-09","2000-09"
2005,NA,NA,"WB","WB (treatment)",10.26,114,1525.05,645.776,313.376,1930.439,NA,NA,313.376,916.926,88.302,357.7,892.773,156.551,85.329,0.564,18.66,14.05732,4.95441860465116,82.52334,32.193,28.20384,173.73951,137.2545,7.67961,207.34947,14.08959,114.71634,"2000-09","2000-09"
2006,"06",NA,"WB","WB (treatment)",10.26,159,2468.768,821.819,487.451,2427.426,25.34,NA,512.791,1280.059,110.519,494.086,1187.76,224.468,223.076,0.441,19.79,9.64727868852459,4.92559322033898,82.6000335849057,31.8825305660377,31.4543852830189,156.637677735849,159.305406792453,14.3947154716981,388.657317735849,14.4845388679245,114.482564150943,"2000-09","2000-09"
2007,NA,NA,"WB","WB (treatment)",10.26,114.18,1831.919,493.028,559.339,1699.011,28.199,NA,587.538,851.267,103.29,347.99,722.551,158.276,268.246,0.707,17.461,41.6642380952381,4.8945652173913,76.4932511823437,31.2697267472412,50.2611502890173,152.669932212296,164.612795060431,24.1040809248555,650.810184971098,14.2223836048345,107.762977929585,"2000-09","2000-09"
2008,"08",NA,"WB","WB (treatment)",10.26,131.46,2336.31,597.775,483.062,2020.942,9.709,40.264,492.771,1008.705,94.637,380.507,897.162,183.792,285.304,0.795,17.989,25.1316846341463,4.86878048780488,78.7259493382017,29.6972601551803,37.7013245093565,157.727559105431,182.340944774076,22.2669940666362,601.208839799178,14.3443322683706,108.423209493382,"2000-09","2000-09"
2009,NA,NA,"WB","WB (treatment)",10.26,158,1884.263,811.208,447.928,2349.149,NA,NA,447.928,1181.608,91.96,469.26,1144.47,166.368,290.446,0,20.464,6.4213390299,5.0925,76.7297346835443,30.4722,29.0869701265823,152.546004683544,122.357837848101,18.8606073417722,509.236398227848,10.8033903797468,107.201934683544,"2000-09","2000-09"
2010,"10",NA,"WB","WB (treatment)",10.26,101,1317.286,511.837,320.807,1484.729,NA,NA,320.807,787.895,75.091,313.355,755.157,97.922,176.523,4.453,15.808,21.3285078260869,5.07913043478261,80.0376504950495,31.831903960396,32.5889091089109,150.824945940594,133.81538970297,17.9319403960396,484.162390693069,9.94732396039604,111.869554455446,"2010-16","2010-18"
2011,NA,NA,"WB","WB (treatment)",10.26,136,1578.834,746.713,393.712,2030.488,NA,NA,393.712,985.842,84.004,403.506,987.712,147.981,302.479,0.199,14.06,6.31574763014763,5.21307692307692,74.3730802941176,30.4409673529412,29.7020964705882,153.182403529412,119.109094411765,22.8193716176471,616.123033676471,11.1638607352941,104.814047647059,"2010-16","2010-18"
2012,"12",NA,"WB","WB (treatment)",10.26,111,1313.799,738.571,472.552,1630.897,NA,NA,472.552,882.543,85.186,351.442,867.611,118.543,233.253,0.935,14.007,16.9092147420635,5.00738095238095,81.5755962162162,32.4846389189189,43.6791308108108,150.747776756757,121.437637297297,21.5601421621622,582.123838378378,10.9572178378378,114.060235135135,"2010-16","2010-18"
2013,NA,NA,"WB","WB (treatment)",10.26,141,1742.787,884.161,434.345,2080.964,NA,NA,434.345,1073.288,89.884,424.717,1166.201,147.167,255.04,0.298,21.759,3.74260693210227,4.97782608695652,78.0988289361702,30.9049391489362,31.605529787234,151.42333787234,126.815564680851,18.558229787234,501.072204255319,10.7087476595745,109.003768085106,"2010-16","2010-18"
2014,"14",NA,"WB","WB (treatment)",10.26,89.137,1352.97,462.38,494.515,1304.704,NA,NA,494.515,464.766,55.99,155.61,397.82,69.15,9.528,1.38,19.09,10.5927194253419,4.99090909090909,53.4962940193186,17.911289363564,56.9205144889328,150.176279659401,155.731875652086,1.09670821319991,29.6111217563975,7.95942201330536,71.4075833828825,"2010-16","2010-18"
2015,NA,NA,"WB","WB (treatment)",10.26,107.609,1134.229,517.509,510.526,1363.064,NA,NA,NA,662.526,71.796,271.516,694.472,126.497,227.602,0.095,17.176,7.3976540743125,5.06352941176471,63.1686639593343,25.887743218504,48.6761958572238,129.961589086415,108.143273703872,21.7007547695825,585.920378778727,12.060879852057,89.0564071778383,"2010-16","2010-18"
2016,"16",NA,"WB","WB (treatment)",10.26,105.80283948,1306.749,651.179,315.394,1446.415,NA,NA,NA,711.28,62.24,254.074,528.316,106.403,189.427,0,19.94,4.32491572423295,4.83388888888889,68.974829370052,24.6382729689666,30.5846464603787,140.262945426954,126.719139163882,18.3692708962446,495.970314198603,10.3181992597312,93.6131023390186,"2010-16","2010-18"
2017,NA,NA,"WB","WB (recovery)",10.26,119.7556104,1592.207,836.67,93.446,1598.023,10.289,NA,NA,707.694,63.121,256.699,864.879,105.706,201.841,0,22.664,16.0395729945415,4.89033333333333,60.6313175286525,21.9925540958205,8.0059377326676,136.909794248771,136.411511456001,17.2926233107823,466.900829391121,9.05630689349315,82.623871624473,"2017-18","2010-18"
2018,"18",NA,"WB","WB (recovery)",10.26,120.22998779,2014.067,891.888,25.796,1346.63,18.223,NA,NA,634.258,91.613,238.165,884.302,66.575,168.377,20.732,35.16,11.1913854987946,5.01866666666666,54.1253243023389,20.3241549376855,2.20133899092031,114.916619838076,171.873322120712,14.368694963335,387.954764010045,5.68127396962784,74.4494792400245,"2017-18","2010-18"
