"Site","Watershed","Record.Type","ISCO_number","Date","Year","Month","Day","Hour","Season","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","NO3_ueq_L","SO4_ueq_L","NH4_ueq_L","total_N_ppm","DOC_mg_L","DIC_mg_L","Al_ppb","Al_org_ppb","Cl_ueq_L","Si_mg_L","total_P_ppb","H_ueq_L","ANC_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll_older_samples","sp_conductance_us_cm","SUVA"
"WB3","WB","ISCO",3,1994-04-13,1994,4,13,22,"SPRING",108,35,9.7,68,43,189,1.4,,2,,742,,47,1.5,,11.5,-7,,,4.94,,4.81,38.1,
"EB8","EB","ISCO",4,1994-04-13,1994,4,13,24,"SPRING",53,20,5.1,60,1,85,1.4,,2.8,,244,,43,1.2,,5.62,-2.4,,,5.25,,5.13,19.9,
"WB3","WB","ISCO",4,1994-04-13,1994,4,13,24,"SPRING",102,33,10,64,42,186,1.4,,2.1,,772,,47,1.4,,12.3,-7.9,,,4.91,,4.78,37.8,
"EB8","EB","ISCO",5,1994-04-14,1994,4,14,2,"SPRING",52,19,5.4,59,3,84,1.4,,2.9,,262,,41,1.1,,5.75,-2.3,,,5.24,,5.11,19.9,
"WB3","WB","ISCO",5,1994-04-14,1994,4,14,2,"SPRING",100,32,12,62,44,198,1.4,,2.3,,878,,44,1.3,,13.8,-9,,,4.86,,4.73,39.4,
"EB8","EB","ISCO",6,1994-04-14,1994,4,14,4,"SPRING",52,20,5.4,60,3,85,1.4,,3,,261,,41,1.1,,5.89,-1.9,,,5.23,,5.12,20.4,
"WB3","WB","ISCO",6,1994-04-14,1994,4,14,4,"SPRING",102,34,12,63,44,200,1.4,,2.3,,884,,46,1.3,,13.2,-8.6,,,4.88,,4.74,39.6,
"EB8","EB","ISCO",8,1994-04-14,1994,4,14,8,"SPRING",50,20,5.6,60,0.05,86,1.4,,2.6,,252,,42,1.2,,5.62,-3.4,,,5.25,,5.13,19.9,
"WB3","WB","ISCO",8,1994-04-14,1994,4,14,8,"SPRING",102,33,11,63,42,192,1.4,,2.1,,848,,44,1.3,,12.6,-9.3,,,4.9,,4.76,39.3,
"EB8","EB","ISCO",10,1994-04-14,1994,4,14,12,"SPRING",52,20,5.6,60,3,88,1.4,,2.5,,245,,42,1.2,,5.62,-2.5,,,5.25,,5.14,20,
"WB3","WB","ISCO",10,1994-04-14,1994,4,14,12,"SPRING",106,34,11,65,43,197,1.4,,2,,838,,46,1.4,,12.3,-8.9,,,4.91,,4.77,39.1,
"EB8","EB","ISCO",12,1994-04-14,1994,4,14,16,"SPRING",52,20,5.6,61,3,88,1.4,,2.6,,241,,43,1.2,,5.37,-2.9,,,5.27,,5.14,20,
"WB3","WB","ISCO",12,1994-04-14,1994,4,14,16,"SPRING",103,34,10.2,64,42,190,1.4,,2,,844,,45,1.4,,12.3,-7.8,,,4.91,,4.76,39,
"WB3","WB","ISCO",14,1994-04-14,1994,4,14,20,"SPRING",106,35,10.2,65,43,192,1.4,,1.9,,850,,46,1.4,,12,-7.2,,,4.92,,4.79,38.5,
"EB8","EB","ISCO",14,1994-04-15,1994,4,15,16,"SPRING",53,20,5.6,62,0.05,91,1.4,,2.3,,211,,43,1.3,,5.01,-2.5,,,5.3,,5.18,20.2,
"WB3","WB","ISCO",16,1994-04-15,1994,4,15,16,"SPRING",110,35,10,67,41,187,1.4,,1.8,,678,,46,1.6,,10.7,-7.2,,,4.97,,4.82,37.8,
"EB8","EB","ISCO",15,1994-04-16,1994,4,16,16,"SPRING",53,20,5.6,62,2,87,1.4,,2.4,,222,,44,1.3,,4.79,-1.6,,,5.32,,5.19,20.4,
"WB3","WB","ISCO",17,1994-04-16,1994,4,16,16,"SPRING",108,35,9.5,68,39,179,1.4,,1.9,,626,,47,1.6,,10.5,-7.4,,,4.98,,4.81,36.8,
"EB8","EB","ISCO",18,1994-04-16,1994,4,16,22,"SPRING",53,20,5.1,63,2,91,1.4,,2.5,,245,,44,1.3,,5.25,-1.8,,,5.28,,5.16,20.4,
"WB3","WB","ISCO",20,1994-04-16,1994,4,16,22,"SPRING",106,34,9.5,64,41,187,1.4,,1.9,,770,,46,1.5,,13.2,-10.4,,,4.88,,4.73,38.5,
"EB8","EB","ISCO",21,1994-04-17,1994,4,17,4,"SPRING",54,21,5.1,63,2,92,1.4,,2.3,,235,,47,1.3,,5.5,-2.7,,,5.26,,5.14,20.5,
"WB3","WB","ISCO",23,1994-04-17,1994,4,17,4,"SPRING",108,34,9.5,67,43,191,1.4,,1.9,,808,,47,1.5,,12,-8.3,,,4.92,,4.75,39.1,
"EB8","EB","ISCO",22,1994-04-17,1994,4,17,16,"SPRING",54,21,5.4,64,0.05,91,1.4,,2.5,,221,,46,1.3,,5.01,-1.9,,,5.3,,5.19,20.6,
"EB8","EB","ISCO",23,1994-04-18,1994,4,18,16,"SPRING",56,21,5.4,67,1,91,1.4,,2.5,,212,,47,1.4,,4.37,-2.3,,,5.36,,5.23,20.8,
"EB8","EB","DUP",,1994-04-19,1994,4,19,11,"SPRING",55,21,4.9,65,0.9,93,1.4,,1.8,0.3,214,91,48,1.4,,4.37,-0.9,1.74,5.24,5.36,,,20.6,
"EB8","EB","REG",,1994-04-19,1994,4,19,11,"SPRING",55,21,4.6,66,1,93,1.4,0.08,1.7,0.3,216,92,49,1.4,0,4.57,-3,1.61,5.29,5.34,,,20.6,
"WB3","WB","REG",,1994-04-19,1994,4,19,11,"SPRING",101,36,8.9,71,41.1,175,1.4,0.57,1.3,0.3,572,158,51,1.8,0,10.7,-7.9,0.79,4.91,4.97,,,36.6,
"WB3","WB","REP",,1994-04-19,1994,4,19,11,"SPRING",102,36,8.9,70,41.1,175,1.4,,1.3,0.3,572,156,51,1.8,,10.5,-8.2,,,4.98,,,36.6,
"EB8","EB","ISCO",2,1994-04-20,1994,4,20,16,"SPRING",57,21,4.9,67,0.05,96,1.4,,2.1,,179,,51,1.5,,3.39,-1.4,,,5.47,,5.3,20.8,
"WB3","WB","ISCO",2,1994-04-20,1994,4,20,16,"SPRING",108,36,9.2,73,34,172,1.4,,1.6,,482,,54,1.9,,9.33,0,,,5.03,,4.99,35.1,
"EB8","EB","ISCO",3,1994-04-21,1994,4,21,16,"SPRING",56,21,4.9,67,0.8,94,1.4,,2.2,,171,,52,1.5,,3.89,-1.6,,,5.41,,5.31,21,
"WB3","WB","ISCO",3,1994-04-21,1994,4,21,16,"SPRING",107,37,8.9,74,33.2,171,1.4,,1.6,,452,,55,2,,8.91,-2.2,,,5.05,,5.01,35.2,
"EB8","EB","ISCO",4,1994-04-22,1994,4,22,16,"SPRING",58,21,4.9,67,1,95,1.4,,2,,165,,53,1.5,,3.63,0,,,5.44,,5.3,21.3,
"WB3","WB","ISCO",4,1994-04-22,1994,4,22,16,"SPRING",106,37,8.4,74,33.2,171,1.4,,1.6,,426,,56,2,,8.13,-0.9,,,5.09,,5.04,34.5,
"EB8","EB","ISCO",5,1994-04-23,1994,4,23,16,"SPRING",60,21,4.9,69,0.05,95,1.4,,2.2,,161,,54,1.6,,3.31,-1.4,,,5.48,,5.35,21.5,
"WB3","WB","ISCO",5,1994-04-23,1994,4,23,16,"SPRING",107,38,8.4,75,32.9,169,1.4,,1.7,,400,,59,2.1,,7.94,-3.5,,,5.1,,5.03,34.4,
"EB8","EB","ISCO",6,1994-04-24,1994,4,24,16,"SPRING",60,22,4.9,69,1.1,95,1.4,,2.4,,165,,53,1.6,,3.09,-1.5,,,5.51,,5.37,21.5,
"WB3","WB","ISCO",6,1994-04-24,1994,4,24,16,"SPRING",108,38,8.4,75,32.3,168,1.4,,1.7,,372,,59,2.1,,7.59,-4.2,,,5.12,,5.06,34.2,
"EB8","EB","ISCO",7,1994-04-25,1994,4,25,16,"SPRING",60,22,4.6,70,0.05,96,1.4,,2.4,,157,,54,1.6,,3.09,-1.2,,,5.51,,5.37,21.5,
"WB3","WB","ISCO",7,1994-04-25,1994,4,25,16,"SPRING",109,38,8.7,77,31.1,164,1.4,,1.5,,378,,58,2.2,,7.24,-3.5,,,5.14,,5.08,34.5,
"WB3","WB","DUP",,1994-04-26,1994,4,26,11,"SPRING",107,37,8.9,77,31.9,165,1.4,,1.2,0.5,150,102,59,2.2,,7.59,-4.5,1.47,4.94,5.12,,,34.4,
"WB3","WB","REG",,1994-04-26,1994,4,26,11,"SPRING",105,38,8.4,76,31.4,163,1.4,0.51,1.1,0.5,324,106,59,2.1,42,7.94,-5,1.56,4.94,5.1,,,34.3,
"EB8","EB","REG",,1994-04-26,1994,4,26,12,"SPRING",60,23,4.6,69,0.8,98,1.4,0.1,1.6,0.6,164,81,57,1.6,13,3.47,0.2,3.91,5.28,5.46,,,21.6,
"EB8","EB","REP",,1994-04-26,1994,4,26,12,"SPRING",60,22,4.9,70,0.05,98,1.4,,,0.6,166,80,55,1.6,,3.31,0.8,,,5.48,,,21.6,
"EB8","EB","ISCO",2,1994-04-27,1994,4,27,16,"SPRING",61,22,5.1,70,0.05,98,1.4,,2.1,,152,,55,1.6,,3.39,6.2,,,5.47,,5.36,21.5,
"WB3","WB","ISCO",2,1994-04-27,1994,4,27,16,"SPRING",109,38,9.2,77,33.3,164,1.4,,1.6,,342,,59,2.1,,7.41,1,,,5.13,,5.01,34.4,
"EB8","EB","ISCO",3,1994-04-28,1994,4,28,16,"SPRING",61,22,5.4,70,0.05,98,1.4,,2.2,,154,,55,1.6,,2.57,6,,,5.59,,5.34,21.7,
"WB3","WB","ISCO",3,1994-04-28,1994,4,28,16,"SPRING",111,39,9.2,77,35.3,167,1.4,,1.4,,352,,59,2.1,,7.41,-1,,,5.13,,5,35,
"EB8","EB","ISCO",4,1994-04-29,1994,4,29,16,"SPRING",61,23,4.9,70,0.05,99,1.4,,1.7,,150,,57,1.6,,2.88,4.1,,,5.54,,5.38,21.8,
"WB3","WB","ISCO",4,1994-04-29,1994,4,29,16,"SPRING",110,38,9.2,77,34.8,167,1.4,,1.5,,340,,59,2,,7.08,-0.8,,,5.15,,5.02,35.1,
"EB8","EB","ISCO",5,1994-04-30,1994,4,30,16,"SPRING",61,23,5.1,71,0.05,98,1.4,,2.5,,158,,57,1.7,,2.69,1.1,,,5.57,,5.36,21.9,
"WB3","WB","ISCO",5,1994-04-30,1994,4,30,16,"SPRING",111,38,9.7,79,32.9,168,1.4,,1.6,,320,,59,2.1,,7.08,-2.8,,,5.15,,5.01,35.1,
"WB3","WB","ISCO",6,1994-05-01,1994,5,1,16,"SPRING",111,38,9.5,77,36.3,169,1.4,,1.7,,380,,59,2,,7.59,-2.5,,,5.12,,4.98,35.2,
"EB8","EB","ISCO",7,1994-05-02,1994,5,2,16,"SPRING",60,22,4.9,70,0.05,98,1.4,,1.7,,156,,55,1.6,,2.95,3.1,,,5.53,,5.35,21.4,
"WB3","WB","ISCO",7,1994-05-02,1994,5,2,16,"SPRING",114,39,9.7,78,36,171,1.4,,1.8,,376,,59,2,,7.59,-2.9,,,5.12,,4.98,35.3,
"EB8","EB","DUP",,1994-05-03,1994,5,3,12,"SPRING",62,23,5.1,71,0.05,100,1.4,,1.1,,160,92,56,1.6,,2.88,2.4,,5.31,5.54,,,21.9,
"EB8","EB","REG",,1994-05-03,1994,5,3,12,"SPRING",62,22,5.4,71,0.05,100,1.4,0.09,1.2,0.7,168,82,56,1.6,1,2.75,2.6,4.57,5.27,5.56,,,22.1,
"WB3","WB","REG",,1994-05-03,1994,5,3,12,"SPRING",114,39,9.7,79,36.8,176,1.4,0.59,1.5,0.8,396,88,60,2,1.1,8.51,-4.2,2.85,5,5.07,,,35.8,
"WB3","WB","REP",,1994-05-03,1994,5,3,12,"SPRING",115,39,9.2,79,37.1,175,1.4,,,0.9,412,92,60,2,,7.76,-4.6,,,5.11,,,35.8,
"EB8","EB","ISCO",2,1994-05-04,1994,5,4,16,"SPRING",64,23,5.1,64,0.05,97,1.4,,1.9,,138,,54,1.7,,2.95,2.9,,,5.53,,5.34,21.5,
"WB3","WB","ISCO",2,1994-05-04,1994,5,4,16,"SPRING",112,38,9.7,80,33.2,168,1.4,,1.9,,320,,60,2.2,,9.77,-0.9,,,,,5.01,34.4,
"WB3","WB","ISCO",3,1994-05-05,1994,5,5,14,"SPRING",109,36,9.5,77,33.3,167,1.4,,1.8,,384,,57,2,,7.24,-1.8,,,5.14,,4.96,34.3,
"EB8","EB","ISCO",3,1994-05-05,1994,5,5,16,"SPRING",56,21,4.9,64,0.05,91,1.4,,2.5,,153,,48,1.5,,3.63,2.4,,,5.44,,5.26,19,
"WB3","WB","ISCO",4,1994-05-05,1994,5,5,16,"SPRING",105,35,9.2,72,34.5,167,1.4,,1.6,,396,,52,1.8,,9.12,-4.3,,,5.04,,4.9,33.7,
"EB8","EB","ISCO",4,1994-05-05,1994,5,5,18,"SPRING",57,21,4.9,65,0.05,93,1.4,,2.9,,187,,45,1.5,,3.98,1.8,,,5.4,,5.22,20.1,
"WB3","WB","ISCO",5,1994-05-05,1994,5,5,18,"SPRING",107,35,9.7,71,38.9,179,1.4,,1.3,,302,,52,1.8,,10.5,-6.5,,,4.98,,4.82,36.5,
"EB8","EB","ISCO",5,1994-05-05,1994,5,5,20,"SPRING",56,20,4.6,64,0.05,94,1.4,,3,,199,,46,1.5,,3.63,1.1,,,5.44,,5.17,20.1,
"WB3","WB","ISCO",7,1994-05-05,1994,5,5,22,"SPRING",108,35,10.2,71,43.9,192,1.4,,1.9,,702,,50,1.7,,11.5,-6.1,,,4.94,,4.81,37.9,
"EB8","EB","ISCO",7,1994-05-05,1994,5,5,24,"SPRING",54,20,5.1,64,0.05,96,1.4,,1.6,,190,,46,1.5,,4.17,-0.9,,,5.38,,5.13,20,
"WB3","WB","ISCO",9,1994-05-06,1994,5,6,2,"SPRING",110,35,10.2,70,47.2,200,1.4,,1.3,,694,,51,1.7,,12.9,-6.8,,,4.89,,4.78,37.9,
"EB8","EB","ISCO",9,1994-05-06,1994,5,6,4,"SPRING",55,20,4.1,64,0.05,96,1.4,,1.9,,191,,47,1.5,,3.98,-1.6,,,5.4,,5.09,20.4,
"WB3","WB","ISCO",12,1994-05-06,1994,5,6,8,"SPRING",111,36,9.7,73,48.6,199,1.4,,2.1,,646,,52,1.7,,12,-5.8,,,4.92,,4.81,37.4,
"EB8","EB","ISCO",12,1994-05-06,1994,5,6,10,"SPRING",56,20,4.1,65,0.05,99,1.4,,1.8,,185,,47,1.5,,4.07,-1.3,,,5.39,,5.14,20.1,
"EB8","EB","ISCO",14,1994-05-06,1994,5,6,16,"SPRING",55,20,5.4,66,0.05,99,1.4,,1.4,,186,,48,1.5,,3.72,-1.2,,,5.43,,5.16,20.5,
"WB3","WB","ISCO",16,1994-05-06,1994,5,6,16,"SPRING",112,35,9.7,73,47.2,195,1.4,,1.8,,610,,53,1.8,,11.5,-5.7,,,4.94,,4.82,39.3,
"EB8","EB","ISCO",15,1994-05-07,1994,5,7,16,"SPRING",58,21,4.6,67,0.05,100,1.4,,2.2,,162,,50,1.6,,3.72,-1.8,,,5.43,,5.13,20.5,
"WB3","WB","ISCO",18,1994-05-07,1994,5,7,16,"SPRING",113,36,10.5,76,41.4,185,1.4,,1.7,,470,,55,2,,9.55,-4.2,,,5.02,,4.89,36.6,
"EB8","EB","ISCO",16,1994-05-08,1994,5,8,16,"SPRING",56,21,4.3,67,0.05,97,1.4,,2.1,,171,,47,1.6,,3.24,-0.7,,,5.49,,5.18,20.3,
"WB3","WB","ISCO",19,1994-05-08,1994,5,8,16,"SPRING",110,36,9.5,74,40.9,183,1.4,,1.2,,546,,54,1.9,,9.33,-4.5,,,5.03,,4.88,35.7,
"EB8","EB","ISCO",17,1994-05-09,1994,5,9,16,"SPRING",56,21,4.3,67,0.05,99,1.4,,2.1,,176,,48,1.6,,3.72,-1.8,,,5.43,,5.14,20.3,
"WB3","WB","ISCO",20,1994-05-09,1994,5,9,16,"SPRING",112,36,10,76,44.8,189,1.4,,1.1,,546,,55,1.9,,10.2,-4.8,,,4.99,,4.84,37.6,
"EB8","EB","REG",,1994-05-10,1994,5,10,12,"SPRING",55,20,4.6,69,0.05,101,1.4,0.07,1.3,0.8,180,87,51,1.6,0.5,3.55,1,4.53,5.26,5.45,,,20.4,
"EB8","EB","REP",,1994-05-10,1994,5,10,12,"SPRING",55,20,4.6,69,2.5,101,1.4,,1.5,,181,89,48,1.6,,3.39,1,,,5.47,,,20.4,
"WB3","WB","DUP",,1994-05-10,1994,5,10,13,"SPRING",106,35,9.7,76,41.6,187,1.4,,1.3,0.7,516,168,56,2,,8.32,-6.6,2.18,4.99,5.08,,,36.3,
"WB3","WB","REG",,1994-05-10,1994,5,10,13,"SPRING",109,35,10,77,41.6,187,1.4,0.61,1.3,0.6,520,183,56,2,5.1,9.12,-7.7,1.75,4.95,5.04,,,36.3,
"EB8","EB","ISCO",2,1994-05-11,1994,5,11,16,"SPRING",58,21,4.9,68,0.05,93,1.4,,2.1,,149,,48,1.6,,3.24,3.2,,,5.49,,5.28,20.7,
"WB3","WB","ISCO",2,1994-05-11,1994,5,11,16,"SPRING",107,35,10,77,35.9,186,1.4,,1.6,,380,,53,2.1,,9.33,-4.1,,,5.03,,4.9,35.4,
"EB8","EB","ISCO",3,1994-05-12,1994,5,12,16,"SPRING",60,21,5.1,69,1.1,94,1.4,,1.9,,150,,50,1.7,,3.02,3.4,,,5.52,,5.29,21.2,
"WB3","WB","ISCO",3,1994-05-12,1994,5,12,16,"SPRING",108,36,10,79,36.2,183,1.4,,1.7,,356,,55,2.1,,8.51,-3.4,,,5.07,,4.93,35.1,
"EB8","EB","ISCO",4,1994-05-13,1994,5,13,16,"SPRING",59,21,4.6,67,0.05,92,1.4,,2,,168,,48,1.6,,2.95,3.8,,,5.53,,5.29,20.6,
"WB3","WB","ISCO",4,1994-05-13,1994,5,13,16,"SPRING",108,35,9.5,77,36.8,182,1.4,,1.7,,384,,54,2,,8.13,-3.4,,,5.09,,4.92,35.2,
"EB8","EB","ISCO",5,1994-05-14,1994,5,14,16,"SPRING",59,21,4.9,68,0.05,92,1.4,,2.3,,148,,48,1.6,,3.02,2.4,,,5.52,,5.26,20.8,
"WB3","WB","ISCO",5,1994-05-14,1994,5,14,16,"SPRING",106,37,9.5,78,36.1,183,1.4,,1.9,,422,,54,2.1,,7.76,-2.1,,,5.11,,4.93,35.1,
"EB8","EB","ISCO",6,1994-05-15,1994,5,15,16,"SPRING",59,21,4.9,69,0.05,94,1.4,,2.3,,138,,49,1.7,,3.09,3.3,,,5.51,,5.29,20.9,
"WB3","WB","ISCO",6,1994-05-15,1994,5,15,16,"SPRING",106,36,9.7,78,31.8,189,1.4,,1.7,,348,,56,2.1,,7.24,-2.4,,,5.14,,4.94,34.5,
"EB8","EB","ISCO",7,1994-05-16,1994,5,16,16,"SPRING",61,21,4.9,69,0.05,93,1.4,,2.3,,130,,50,1.7,,2.69,3.3,,,5.57,,5.3,20.8,
"WB3","WB","ISCO",7,1994-05-16,1994,5,16,16,"SPRING",109,37,9.7,80,32.7,189,1.4,,1.6,,348,,54,2.2,,6.92,-1.8,,,5.16,,4.96,34.2,
"EB8","EB","DUP",,1994-05-17,1994,5,17,13,"SPRING",57,21,4.9,72,0.05,95,1.4,,1.7,0.4,166,87,50,1.7,,2.45,5,3.22,5.35,5.61,,,20.8,
"EB8","EB","REG",,1994-05-17,1994,5,17,13,"SPRING",56,21,4.9,71,0.05,95,1.4,0.08,1.6,0.4,165,89,50,1.7,1.3,2.4,4.9,2.91,5.36,5.62,,,20.8,
"WB3","WB","REG",,1994-05-17,1994,5,17,13,"SPRING",101,36,9.7,80,31.9,188,1.4,0.52,1.3,1.2,410,138,54,2.1,0.8,6.31,-0.8,4.21,5.01,5.2,,,33.9,
"WB3","WB","REP",,1994-05-17,1994,5,17,13,"SPRING",102,36,9.7,80,32.6,188,1.4,,1.2,1.3,406,144,55,2.1,,6.31,-1.4,,,5.2,,,33.9,
"EB8","EB","ISCO",2,1994-05-18,1994,5,18,16,"SPRING",59,21,4.9,71,0.05,104,1.4,,1.8,,135,,52,1.7,,4.27,2.5,,,5.37,,5.29,21.3,
"WB3","WB","ISCO",2,1994-05-18,1994,5,18,16,"SPRING",106,36,9.5,80,31.2,176,1.4,,1.4,,286,,56,2.2,,8.13,-2.9,,,5.09,,4.94,34.4,
"EB8","EB","ISCO",3,1994-05-19,1994,5,19,16,"SPRING",61,22,4.9,70,0.05,105,1.4,,1.7,,139,,54,1.7,,4.27,0.4,,,5.37,,5.24,21.5,
"WB3","WB","ISCO",3,1994-05-19,1994,5,19,16,"SPRING",106,35,9.7,80,29.4,175,1.4,,1.5,,264,,57,2.2,,8.32,-3.6,,,5.08,,4.96,34,
"EB8","EB","ISCO",4,1994-05-20,1994,5,20,16,"SPRING",61,21,5.6,72,0.05,105,1.4,,1.8,,123,,56,1.7,,4.57,1.2,,,5.34,,5.25,21.6,
"WB3","WB","ISCO",4,1994-05-20,1994,5,20,16,"SPRING",106,35,10,82,28.8,174,1.4,,1.4,,240,,60,2.3,,8.32,-2.4,,,5.08,,4.98,33.9,
"WB3","WB","ISCO",5,1994-05-21,1994,5,21,16,"SPRING",103,36,10.2,82,26.5,176,1.4,,1.4,,124,,59,2.3,,8.32,-2.8,,,5.08,,4.99,33.6,
"WB3","WB","ISCO",6,1994-05-22,1994,5,22,16,"SPRING",104,35,10.5,83,24.3,175,1.4,,1.4,,198,,58,2.3,,7.41,-3.9,,,5.13,,4.99,33.3,
"WB3","WB","ISCO",7,1994-05-23,1994,5,23,16,"SPRING",104,35,10.2,83,22,173,1.4,,1.5,,180,,61,2.4,,6.76,-3.2,,,5.17,,5.01,33.1,
"WB3","WB","DUP",,1994-05-24,1994,5,24,12,"SPRING",97,35,9.7,84,21.4,172,1.4,,1.2,0.6,270,82,59,2.4,,7.24,-1.4,2.61,5.1,5.14,,,32,
"WB3","WB","REG",,1994-05-24,1994,5,24,12,"SPRING",99,36,10,85,20.8,172,1.4,0.36,1,0.7,266,76,60,2.4,0.2,7.08,-1.1,3.04,5.1,5.15,,,32.1,
"EB8","EB","REG",,1994-05-24,1994,5,24,13,"SPRING",60,22,5.6,77,0.05,97,1.4,0.07,1.5,1,146,85,56,1.9,1,3.31,4.8,6.99,5.31,5.48,,,21.7,
"EB8","EB","REP",,1994-05-24,1994,5,24,13,"SPRING",60,22,5.6,77,0.05,97,1.4,,1.5,1,148,86,55,1.9,,3.02,5.6,,,5.52,,,21.7,
"EB8","EB","ISCO",2,1994-05-25,1994,5,25,16,"SPRING",61,22,5.6,74,0.05,99,1.4,,2.8,,122,,55,1.8,,3.47,4.6,,,5.46,,5.42,21.6,
"WB3","WB","ISCO",2,1994-05-25,1994,5,25,16,"SPRING",100,36,10,81,21,156,1.4,,1.5,,198,,60,2.3,,6.17,-0.1,,,5.21,,5.12,31.8,
"EB8","EB","ISCO",3,1994-05-26,1994,5,26,16,"SPRING",63,21,5.1,74,0.05,99,1.4,,1.9,,119,,54,1.8,,3.24,3.6,,,5.49,,5.41,21.7,
"WB3","WB","ISCO",4,1994-05-26,1994,5,26,16,"SPRING",102,37,10,83,23,161,1.4,,1.6,,172,,60,2.3,,6.61,-0.3,,,5.18,,5.12,32.6,
"EB8","EB","ISCO",4,1994-05-27,1994,5,27,16,"SPRING",62,22,4.9,74,0.05,99,1.4,,1.9,,117,,53,1.8,,2.88,4.9,,,5.54,,5.44,21.5,
"WB3","WB","ISCO",5,1994-05-27,1994,5,27,16,"SPRING",102,37,9.7,82,22,157,1.4,,1.4,,178,,61,2.3,,6.76,0.1,,,5.17,,5.13,32.2,
"EB8","EB","ISCO",5,1994-05-28,1994,5,28,16,"SPRING",62,22,5.1,74,0.05,100,1.4,,2.1,,115,,53,1.8,,3.02,4.8,,,5.52,,5.45,21.7,
"WB3","WB","ISCO",6,1994-05-28,1994,5,28,16,"SPRING",103,37,10.2,84,22,160,1.4,,1.5,,162,,62,2.3,,6.31,-0.1,,,5.2,,5.12,32.5,
"EB8","EB","ISCO",6,1994-05-29,1994,5,29,16,"SPRING",63,21,5.4,75,0.05,99,1.4,,2.1,,123,,54,1.8,,3.02,4.2,,,5.52,,5.43,21.8,
"WB3","WB","ISCO",7,1994-05-29,1994,5,29,16,"SPRING",102,37,10,85,19,160,1.4,,1.4,,170,,62,2.4,,6.17,0.8,,,5.21,,5.15,32.3,
"EB8","EB","ISCO",7,1994-05-30,1994,5,30,16,"SPRING",65,22,5.4,77,0.05,100,1.4,,2,,110,,54,1.8,,1.86,7.1,,,5.73,,5.58,21.9,
"WB3","WB","ISCO",8,1994-05-30,1994,5,30,16,"SPRING",100,37,9.7,84,18,159,1.4,,1.6,,144,,63,2.3,,6.03,0.4,,,5.22,,5.14,32,
"EB8","EB","DUP",,1994-05-31,1994,5,31,12,"SPRING",62,22,5.6,80,0.05,103,1.4,,2.2,0.6,141,80,56,1.8,,2.51,4.9,4.54,5.4,5.6,,,21.8,
"EB8","EB","REG",,1994-05-31,1994,5,31,12,"SPRING",62,22,5.6,78,0.05,103,1.4,0.1,2,0.6,136,82,57,1.8,0.5,2.51,4.6,5.76,5.45,5.6,,,21.7,
"WB3","WB","REG",,1994-05-31,1994,5,31,12,"SPRING",104,36,9.7,86,17,163,1.4,0.3,1.2,0.8,110,81,61,2.3,0.5,6.31,-1.8,3.98,5.2,5.2,,,32,
"WB3","WB","REP",,1994-05-31,1994,5,31,12,"SPRING",102,36,9.2,86,17,164,1.4,,1.3,0.8,111,82,61,2.3,,6.17,-1,,,5.21,,,31.9,
"EB8","EB","ISCO",2,1994-06-01,1994,6,1,16,"SUMMER",66,23,4.9,79,0.05,101,1.4,,2,,108,,56,1.9,,2.34,8.2,,,5.63,,5.44,22.8,
"WB3","WB","ISCO",2,1994-06-01,1994,6,1,16,"SUMMER",106,38,8.9,90,14,160,1.4,,1.7,,150,,62,2.5,,4.27,4.1,,,5.37,,5.19,32.5,
"EB8","EB","ISCO",3,1994-06-02,1994,6,2,16,"SUMMER",67,24,4.6,80,0.05,98,1.4,,2.1,,111,,55,1.9,,2.24,8.1,,,5.65,,5.43,23.1,
"WB3","WB","ISCO",3,1994-06-02,1994,6,2,16,"SUMMER",105,38,8.4,90,13,159,1.4,,1.7,,178,,62,2.5,,4.17,1,,,5.38,,5.17,32.3,
"EB8","EB","ISCO",4,1994-06-03,1994,6,3,16,"SUMMER",64,24,4.9,80,0.05,100,1.4,,2.2,,107,,56,1.9,,2.14,9.2,,,5.67,,5.48,22.9,
"WB3","WB","ISCO",4,1994-06-03,1994,6,3,16,"SUMMER",105,37,8.2,88,12,158,1.4,,1.6,,142,,63,2.5,,3.8,2.7,,,5.42,,5.18,32.2,
"EB8","EB","ISCO",5,1994-06-04,1994,6,4,16,"SUMMER",66,24,4.3,80,0.05,104,1.4,,2.1,,112,,58,2,,2,4.8,,,5.7,,5.42,23.3,
"WB3","WB","ISCO",5,1994-06-04,1994,6,4,16,"SUMMER",103,37,7.4,89,10,158,1.4,,1.7,,144,,64,2.5,,3.55,1.5,,,5.45,,5.24,31.9,
"EB8","EB","ISCO",6,1994-06-05,1994,6,5,16,"SUMMER",67,24,3.3,81,0.05,102,1.4,,2.2,,112,,58,1.9,,1.86,9.5,,,5.73,,5.51,23.2,
"WB3","WB","ISCO",6,1994-06-05,1994,6,5,16,"SUMMER",102,36,7.2,89,9,157,1.4,,2.2,,132,,64,2.6,,3.31,4.3,,,5.48,,5.22,31.6,
"EB8","EB","ISCO",7,1994-06-06,1994,6,6,16,"SUMMER",67,24,3.6,82,0.05,104,1.4,,2.3,,121,,60,2,,1.7,8.5,,,5.77,,5.52,23.3,
